Comment,Emotion
Du klounai,Low
ne du klounai o du lavonai cia,Low
"Cirkas isvaziavo, o klounus paliko 🤷‍♀️",Low
Pasaulis pavargo nuo klaunu,Medium
Kostiumą nusipirk aktoriau,Low
Debiloudu susirinkimas,Low
Biba i boba dva Dalbajoba,Low
Cia tas tipas kur netycia istojo i komunistu partija ir netycia regioninem parke nama pasistate ir netycia nusipirko bilietus i teatra fantomas uz 1660 ar cia kitas asmuo?,Critical
Laizeka reikėjo dar sumest🤣🤣🤣,Low
Tarapunka ir Štepselis,Low
Nusibodo jau tas vagių paradas galima ką nors naujo ir protingo,Medium
"at tik nebus jie Gomesai, Piderikai?",Medium
o subinėn chacholui ar palaižė ?,High
o subinėn chacholui ar palaižė ?,High
Du klaunai . Štepselis su tarapunka😄,Low
Teslagalvis,Low
Apsimizes ir taip jau esi,Medium
Kiškis drąsuolis ir iš kur toks kiets,Low
Tai pats žemiausias žmogos lygis.,Low
ir tai gerasirdis Lietuvos prezidentas . Labai panashus i fiureri,Low
"Jis gi komunistas, ko jam bijot ruskelų.",Medium
"Greičiau tas brudas dingtų ! Marionetė , bestuburis .",High
Vyras be kiaušinių jau nieko nebijo???,Low
Absolutely idiot. 🤣🤣🤣🤣,Low
"Perduok linkėjimus geriau, ATSILUPĖLI , MELSTROY tai 0 , prieš putiną 🤣🤣🤣🙈",Low
zuikis drasuolis,Low
"Kietai pasakė Lietuvos ,,napaleonas “🤣",Low
"Vajetau, koks rimtas berniukas!!!",Low
Nes pyderai pabegsit pirmi issigimelei,High
Net zodzio nesugebetu istart pries ji tiesiog apsimystu pries putina 😃,Medium
Asilo pompa tas musu prezidentas atsibusk biski...,Low
Vun nx ji prizintu nepavadinsi jo,Low
"Valdžios glušiai visada ras su kuo palyginti prekės kainą, bet niekada nepasakys, o koks atlyginimas toje Australijoje? Nausėduk, gerovės valstybės kūrėjau, sutvarkyk atlyginimus kaip Australijoje, o tada jau čirškėk apie cigarečių pakelio kainą, o tai labai jau kvailai atrodai su tokiais palyginimais.",Medium
Dar vis galvojau kad Nausėda turi truputi daugiau smegenų bet klydau tikras pasipūtęs besmegenis palygink ir kokias pajamas gauna lietuviai,Medium
"Kazkada buvo, o gal dar ir yra laida bukas ir bukesnis. Gera laida.",Low
"Akcizus, mokesčius ir visas kainas lygina bet algų ne… Bjaurybes nebeplaukit tu smegenų Lietuvos žmonėm ir gyventojam!!! Paskui Stebisi jog zmones varo kontrabanda ir verda savo gėrimus. Tada su dronais nelegaliai visus pasekam šaunam dar baudų ar kalėjimo… Tai daugumai jau dirbt normaliai neapsimoka nes neisimokės skolų iki gyvenimo galo… Tada nusikalteliu ir albinosų gretos didėja o jiems poxhui jiem tai pinigu užtenka gali ne tik rūkyti ir gerti bet ir striptizą prie cigaro užsisakyti.
ŽMONĖS PABUSKIT IR EIKIM BALSUOTI BŪTINAI…. Ir kas priklausomi rūkyti. Kai sutiksit piskit jam iš kojos į galva 😄",Critical
Kosmonautas pasidare vienok 🫣,Low
Visiškas byvis-mauzeris nesiorientuoja visą kadenciją aplinkoje🙉,Low
"Lietuvoje ko tik imasi valdžiašudžiai viskas pasirodo kvaila,reformos,liberalizacija,PVM didinimas,mokyklų renovacija o paskui jų uždarymas nes nėra vaikų ir t.t.....",High
byby jus uostykit,Low
Debilu debilai,Low
Algas australijos palyginkit-debilai🤣🤣🤣🤣,Low
"Tai kad tokie kaip nauseda protu nepasizymi,tai eilinis luzaris...🤣",Low
Tik ne už Nuosėda 😂,Low
"Tu pats parodei kad per durnas būt prezidentu per skystas esi ir priedo neturi savo nuomonės ,tu kaip boba elgiesi ir aplamai aik nahui iš to posto prietranka",Medium
Tegul nejuokina tas artistas,Low
"baisu, svetimos salies veliavu laizytojas.",High
